comment,author_display_name,comment_like_count
So many doorbells 💓❤️,@riyadelorez6604,0
"I went there yesterday ,84 C",@riyadelorez6604,0
Sanam I know you try best performance… also best go ahead were with you,@patwaryh7090,0
Love SANAM,@vassidass5310,0
I love his retro songs,@keertijari,0
Great selection of songs,@enajain5659,1
U are awesome Sanam! Keep it up 👍,@enajain5659,2
❤👌👌,@rasi1963,0
Thankful for you,@enajain5659,0
Sanam u are blessed 😇 really enjoyed ur songs in melodies! God bless you,@enajain5659,6
"খুব ভালো গেয়েছেন,মুগ্ধো হোলাম",@pronatibanerjee8473,0
👍👍👍👍👌👌,@akhumqnkr...yimkhiunger9739,0
Great voice & amezing music 🎵,@bhoomigajjar8991,3
Best singer in the world💔💔,@agrishchatterjee3655,0
I was doing mathematics peacefully while listening this......but when the song Hume tumse pyaar Kitna started it forced me to stop for a while and raise the volume.....that's the power of his melodious voice.....you have my whole heart Mr sanam puri ❤ from 2016 to 2022 and will forever I'll be ur constant fangirl🥺❤ iloveyou❤,@mystic__saint,51
Please make more videos. You people are not only a delight to hear but also to see. God bless.,@nausheenchoudhury4346,2
sanam voice ❤❤❤❤,@urvashiyadav396,0
Sanam👌👌🎂🎂☺️☺️I love you all 👍,@pro_gaming1694,0
Qqqaq,@tinachaudhary2288,0
"Excellent collection with very rich voice , I love the song lag ja gale superb👍",@anitakurothe4182,3
😍😍😍,@mojbinkhan4669,0
"Nice song, love it",@mimigomes395,2
So sweet,@abhishektandlekar1428,0
your  musician  group  is  also  give  me  happiness.....so  smiliy  group,@jamunapradhan9540,0
best one  of  the,@jamunapradhan9540,0
Legit!!,@25pradnyeshpatil33,1
Just love the melodious,@pritsprati6612,1
please sing tum aa gye ho noor aa gya h🙏,@monikavishwakarma133,0
❤,@raashmekadas3308,0
11,@ioanamurariu2136,0
Tanx dear 😐,@qaisrasikh9463,0
Very best,@shreethakare5477,0
God bless you and your's whole family members bhaiya.,@anamikamichael3329,2
♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️✨✨✨♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️✨✨✨✨✨✨✨✨✨♥️♥️♥️♥️♥️♥️♥️✨✨✨✨♥️♥️♥️✨♥️♥️♥️✨✨♥️♥️♥️✨♥️♥️♥️♥️♥️♥️♥️✨✨✨✨✨♥️,@shubhajitdas6883,1
So sweet,@shubhajitdas6883,1
It's just awesome playlist 🔥🔥🔥,@a.rahaman3987,0
I love you songs of you ❤️❤️💜❤️❤️💜❤️❤️💜,@ranadey670,0
Mere mehboob qayamat hogi has his own name sanam,@AlphaPiano14369,0
I love you saman,@jyotsnashelke7421,0
Soothing 😍,@khushboosingh3368,1
best classical Sanam ji,@dayanidhisaunta5690,2
"this group's energy and personalities are admirable - so refined and gentle!  This is reflected in the CHOICE of the songs they present - the BEST OF THE BEST.  Sanam has a beautiful and soulful voice.  Very beautiful.  May God Bless you all with good health, happiness, love and peace to continue sharing your amazing music.",@rebekahjalali6435,11
my one of the favourite singer SANAM Band,@qismatqismat7179,0
